identityKey,versionKey,name,edition,level,school,castingTime,range,components,duration,concentration,ritual,attackModes,saveAbilities,effectReliabilityCategory,spellLists,sourceBooks,sourcePage,sourceSlug
control-flames,2014:control-flames,Control Flames,2014,0,Transmutation,1 Action,60 Feet,S,Instantaneous or 1 hour,false,false,,,fixed_effect,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,control-flames
create-bonfire,2014:create-bonfire,Create Bonfire,2014,0,Conjuration,1 Action,60 Feet,"V, S","Concentration, up to 1 minute",true,false,,dexterity,saving_throw,Artificer;Druid;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,create-bonfire
frostbite,2014:frostbite,Frostbite,2014,0,Evocation,1 Action,60 feet,"V, S",Instantaneous,false,false,,constitution,saving_throw,Druid;Sorcerer;Warlock;Wizard;Artificer,Xanathar's Guide to Everything,,frostbite
gust,2014:gust,Gust,2014,0,Transmutation,1 Action,30 feet,"V, S",Instantaneous,false,false,,strength,saving_throw,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,gust
infestation,2014:infestation,Infestation,2014,0,Conjuration,1 Action,30 feet,"V, S, M",Instantaneous,false,false,,constitution,saving_throw,Druid;Sorcerer;Warlock;Wizard,Xanathar's Guide to Everything,,infestation
magic-stone,2014:magic-stone,Magic Stone,2014,0,Transmutation,1 Bonus Action,Touch,"V, S",1 minute,false,false,ranged_spell,,attack_roll,Druid;Warlock;Artificer,Xanathar's Guide to Everything;Elemental Evil Player's Companion,,magic-stone
mold-earth,2014:mold-earth,Mold Earth,2014,0,Transmutation,1 Action,30 feet,S,Instantaneous or 1 hour,false,false,,,fixed_effect,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,mold-earth
primal-savagery,2014:primal-savagery,Primal Savagery,2014,0,Transmutation,1 Action,Self,S,Instantaneous,false,false,melee_spell,,attack_roll,Druid,Xanathar's Guide to Everything,,primal-savagery
shape-water,2014:shape-water,Shape Water,2014,0,Transmutation,1 Action,30 feet,S,Instantaneous or 1 hour,false,false,,,fixed_effect,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,shape-water
thunderclap,2014:thunderclap,Thunderclap,2014,0,Evocation,1 Action,Self (5-foot radius),S,Instantaneous,false,false,,constitution,saving_throw,Bard;Druid;Sorcerer;Warlock;Wizard;Artificer,Xanathar's Guide to Everything,,thunderclap
toll-the-dead,2014:toll-the-dead,Toll the Dead,2014,0,Necromancy,1 Action,60 feet,"V, S",Instantaneous,false,false,,wisdom,saving_throw,Cleric;Warlock;Wizard,Xanathar's Guide to Everything,,toll-the-dead
word-of-radiance,2014:word-of-radiance,Word of Radiance,2014,0,Evocation,1 Action,5 feet,"V, M",Instantaneous,false,false,,constitution,saving_throw,Cleric,Xanathar's Guide to Everything,,word-of-radiance
absorb-elements,2014:absorb-elements,Absorb Elements,2014,1,Abjuration,1 Reaction,Self,S,1 round,false,false,,,fixed_effect,Artificer;Druid;Ranger;Sorcerer;Wizard,Xanathar's Guide to Everything,,absorb-elements
beast-bond,2014:beast-bond,Beast Bond,2014,1,Divination,1 Action,Touch,"V, S, M","Concentration, up to 10 minutes",true,false,,,fixed_effect,Druid;Ranger,Xanathar's Guide to Everything,,beast-bond
catapult,2014:catapult,Catapult,2014,1,Transmutation,1 Action,60 feet,S,Instantaneous,false,false,,dexterity,saving_throw,Sorcerer;Wizard;Artificer,Xanathar's Guide to Everything,,catapult
cause-fear,2014:cause-fear,Cause Fear,2014,1,Necromancy,1 Action,60 feet,"V, S","Concentration, up to 1 minute",true,false,,wisdom,saving_throw,Warlock;Wizard,Xanathar's Guide to Everything,,cause-fear
ceremony,2014:ceremony,Ceremony,2014,1,Abjuration,1 Action R,Touch,"V, S, M",Instantaneous,false,true,,,ritual_utility,Cleric;Paladin,Xanathar's Guide to Everything,,ceremony
chaos-bolt,2014:chaos-bolt,Chaos Bolt,2014,1,Evocation,1 Action,120 feet,"V, S",Instantaneous,false,false,ranged_spell,,attack_roll,Sorcerer,Xanathar's Guide to Everything,,chaos-bolt
earth-tremor,2014:earth-tremor,Earth Tremor,2014,1,Evocation,1 Action,Self (10-foot radius),"V, S",Instantaneous,false,false,,dexterity,saving_throw,Bard;Druid;Sorcerer;Wizard,Xanathar's Guide to Everything;Elemental Evil Player's Companion,,earth-tremor
ice-knife,2014:ice-knife,Ice Knife,2014,1,Conjuration,1 Action,60 feet,"S, M",Instantaneous,false,false,ranged_spell,dexterity,mixed,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,ice-knife
snare,2014:snare,Snare,2014,1,Abjuration,1 Minute,Touch,"S, M",8 hours,false,false,,dexterity,saving_throw,Artificer;Druid;Ranger;Wizard,Xanathar's Guide to Everything,,snare
zephyr-strike,2014:zephyr-strike,Zephyr Strike,2014,1,Transmutation,1 Bonus Action,Self,V,"Concentration, up to 1 minute",true,false,,,fixed_effect,Ranger,Xanathar's Guide to Everything,,zephyr-strike
aganazzar-s-scorcher,2014:aganazzar-s-scorcher,Aganazzar's Scorcher,2014,2,Evocation,1 Action,30 Feet,"V, S, M",Instantaneous,false,false,,dexterity,saving_throw,Sorcerer;Wizard,Xanathar's Guide to Everything,,aganazzars-scorcher
dragon-s-breath,2014:dragon-s-breath,Dragon's Breath,2014,2,Transmutation,1 Bonus Action,Touch,"V, S, M","Concentration, up to 1 minute",true,false,,dexterity,saving_throw,Sorcerer;Wizard,Xanathar's Guide to Everything,,dragons-breath
dust-devil,2014:dust-devil,Dust Devil,2014,2,Conjuration,1 Action,60 feet,"V, S, M","Concentration, up to 1 minute",true,false,,strength,saving_throw,Druid;Sorcerer;Wizard,Xanathar's Guide to Everything,,dust-devil
