identityKey,versionKey,name,edition,level,school,castingTime,range,components,duration,concentration,ritual,attackModes,saveAbilities,effectReliabilityCategory,spellLists,sourceBooks,sourcePage,sourceSlug
spellfire-flare,2024:spellfire-flare,Spellfire Flare,2024,1,Evocation,Action,60 feet,"V, S",Instantaneous,false,false,ranged_spell,,attack_roll,Sorcerer;Wizard,Forgotten Realms - Heroes of Faerun,,spellfire-flare
wardaway,2024:wardaway,Wardaway,2024,1,Abjuration,Action,60 feet,"V, S, M",Instantaneous,false,false,,constitution,saving_throw,Bard;Cleric;Paladin;Wizard,Forgotten Realms - Heroes of Faerun,,wardaway
death-armor,2024:death-armor,Death Armor,2024,2,Necromancy,Action,Touch,"V, S, M(C*)",1 hour,false,false,,,fixed_effect,Sorcerer;Wizard,Forgotten Realms - Heroes of Faerun,,death-armor
deryan-s-helpful-homunculi,2024:deryan-s-helpful-homunculi,Deryan's Helpful Homunculi,2024,2,Conjuration,Action or R,Self,"V, S, M(C*)",8 hours,false,true,,,ritual_utility,Cleric;Wizard,Forgotten Realms - Heroes of Faerun,,deryan-s-helpful-homunculi
elminster-s-elusion,2024:elminster-s-elusion,Elminster's Elusion,2024,2,Abjuration,Bonus Action,Self,"V, S","C, up to 10 minutes",true,false,,,fixed_effect,Wizard,Forgotten Realms - Heroes of Faerun,,elminster-s-elusion
cacophonic-shield,2024:cacophonic-shield,Cacophonic Shield,2024,3,Evocation,Action,Self,"V, S","C, up to 10 minutes",true,false,,constitution,saving_throw,Bard;Sorcerer;Wizard,Forgotten Realms - Heroes of Faerun,,cacophonic-shield
conjure-constructs,2024:conjure-constructs,Conjure Constructs,2024,3,Conjuration,Action,60 feet,"V, S, M","C, up to 10 minutes",true,false,,dexterity,saving_throw,Wizard,Forgotten Realms - Heroes of Faerun,,conjure-constructs
laeral-s-silver-lance,2024:laeral-s-silver-lance,Laeral's Silver Lance,2024,3,Evocation,Action,Self,"V, S, M(C)",Instantaneous,false,false,,strength,saving_throw,Cleric;Sorcerer;Wizard,Forgotten Realms - Heroes of Faerun,,laeral-s-silver-lance
sylune-s-viper,2024:sylune-s-viper,Sylune's Viper,2024,3,Conjuration,Bonus Action,Self,"V, S, M",1 hour,false,false,ranged_spell,,attack_roll,Druid;Wizard,Forgotten Realms - Heroes of Faerun,,sylune-s-viper
backlash,2024:backlash,Backlash,2024,4,Abjuration,Reaction,60 feet,V,Instantaneous,false,false,,constitution,saving_throw,Bard;Sorcerer;Warlock;Wizard,Forgotten Realms - Heroes of Faerun,,backlash
doomtide,2024:doomtide,Doomtide,2024,4,Conjuration,Action,120 feet,"V, S, M","C, up to 1 minute",true,false,,wisdom,saving_throw,Bard;Cleric;Warlock,Forgotten Realms - Heroes of Faerun,,doomtide
spellfire-storm,2024:spellfire-storm,Spellfire Storm,2024,4,Evocation,Action,60 feet,"V, S","C, up to 1 minute",true,false,,constitution,saving_throw,Sorcerer;Wizard,Forgotten Realms - Heroes of Faerun,,spellfire-storm
alustriel-s-mooncloak,2024:alustriel-s-mooncloak,Alustriel's Mooncloak,2024,5,Abjuration,Action,Self,"V, S, M(C)","C, up to 1 minute",true,false,,,modifier_scaled,Bard;Druid;Ranger;Wizard,Forgotten Realms - Heroes of Faerun,,alustriel-s-mooncloak
songal-s-elemental-suffusion,2024:songal-s-elemental-suffusion,Songal's Elemental Suffusion,2024,5,Transmutation,Action,Self,"V, S, M(C)","C, up to 1 minute",true,false,,dexterity,saving_throw,Druid;Sorcerer;Wizard,Forgotten Realms - Heroes of Faerun,,songal-s-elemental-suffusion
dirge,2024:dirge,Dirge,2024,6,Enchantment,Action,Self,V,"C, up to 1 minute",true,false,,constitution,saving_throw,Bard;Cleric,Forgotten Realms - Heroes of Faerun,,dirge
elminster-s-effulgent-spheres,2024:elminster-s-effulgent-spheres,Elminster's Effulgent Spheres,2024,6,Evocation,Action,Self,"V, S, M(C)",1 hour,false,false,ranged_spell,,attack_roll,Druid;Sorcerer;Wizard,Forgotten Realms - Heroes of Faerun,,elminster-s-effulgent-spheres
simbul-s-synostodweomer,2024:simbul-s-synostodweomer,Simbul's Synostodweomer,2024,7,Transmutation,Action,Touch,"V, S",1 hour,false,false,,,modifier_scaled,Sorcerer;Wizard,Forgotten Realms - Heroes of Faerun,,simbul-s-synostodweomer
holy-star-of-mystra,2024:holy-star-of-mystra,Holy Star of Mystra,2024,8,Evocation,Bonus Action,Self,"V, S","C, up to 1 minute",true,false,ranged_spell,,attack_roll,Cleric;Wizard,Forgotten Realms - Heroes of Faerun,,holy-star-of-mystra
blade-of-disaster,2024:blade-of-disaster,Blade Of Disaster,2024,9,Conjuration,Bonus Action,60 feet,"V, S","C, up to 1 minute",true,false,melee_spell,,attack_roll,Sorcerer;Warlock;Wizard,Forgotten Realms - Heroes of Faerun,,blade-of-disaster
